Date,Profession,Rank,Equipment,Insalubrity,Size_Production,Salary
2009-09-01,Roller,7,Pilgrim mill,18,1080,28284.58823529412
2009-09-01,Roller,6,Pilgrim mill,18,1080,24833.29411764706
2009-09-01,Roller assistant,4,Pilgrim mill,18,1080,19281.70588235294
2009-09-01,Roller assistant,3,Pilgrim mill,18,1080,17067.882352941175
2009-09-01,Hot metal cutter,4,Pilgrim mill,16,1080,18921.70588235294
2009-09-01,Cleaner,3,Pilgrim mill,18,1080,17067.882352941175
2009-09-01,Roller,5,Sizing mill,18,1080,21847.470588235294
2009-09-01,Operator,5,Sizing mill,8,1080,20047.470588235294
2009-09-01,Operator,5,Sizing mill,8,1080,20047.470588235294
2009-09-01,Operator,4,Sizing mill,8,1080,17481.70588235294
2009-10-01,Metal heater,7,Heating furnaces,22,780,26020.0
2009-10-01,Metal heater,6,Heating furnaces,22,780,22980.0
2009-10-01,Metal heater,5,Heating furnaces,22,780,20350.0
2009-10-01,Metal heater,5,Heating furnaces,22,780,20350.0
2009-10-01,Metal heater,4,Heating furnaces,22,780,18090.0
2009-10-01,Metal planter,4,Heating furnaces,22,780,18090.0
2009-10-01,Refractory,4,Heating furnaces,11,780,16110.0
2009-10-01,Roller,7,Piercing mill,18,780,25300.0
2009-10-01,Roller,6,Piercing mill,18,780,22260.0
2009-10-01,Roller assistant,4,Piercing mill,18,780,17370.0
2009-10-01,Roller,7,Pilgrim mill,18,780,25300.0
2009-10-01,Roller,6,Pilgrim mill,18,780,22260.0
2009-10-01,Roller assistant,4,Pilgrim mill,18,780,17370.0
2009-10-01,Roller assistant,3,Pilgrim mill,18,780,15420.0
2009-10-01,Hot metal cutter,4,Pilgrim mill,16,780,17010.0
2009-10-01,Cleaner,3,Pilgrim mill,18,780,15420.0
2009-10-01,Roller,5,Sizing mill,18,780,19630.0
2009-10-01,Operator,5,Sizing mill,8,780,17830.0
2009-10-01,Operator,5,Sizing mill,8,780,17830.0
2009-10-01,Operator,4,Sizing mill,8,780,15570.0
2009-11-01,Metal heater,7,Heating furnaces,22,1020,28226.0
2009-11-01,Metal heater,6,Heating furnaces,22,1020,24882.0
2009-11-01,Metal heater,5,Heating furnaces,22,1020,21989.0
2009-11-01,Metal heater,5,Heating furnaces,22,1020,21989.0
2009-11-01,Metal heater,4,Heating furnaces,22,1020,19503.0
2009-11-01,Metal planter,4,Heating furnaces,22,1020,19503.0
2009-11-01,Refractory,4,Heating furnaces,11,1020,17523.0
2009-11-01,Roller,7,Piercing mill,18,1020,27506.0
2009-11-01,Roller,6,Piercing mill,18,1020,24162.0
2009-11-01,Roller assistant,4,Piercing mill,18,1020,18783.0
2009-11-01,Roller,7,Pilgrim mill,18,1020,27506.0
2009-11-01,Roller,6,Pilgrim mill,18,1020,24162.0
2009-11-01,Roller assistant,4,Pilgrim mill,18,1020,18783.0
2009-11-01,Roller assistant,3,Pilgrim mill,18,1020,16638.0
2009-11-01,Hot metal cutter,4,Pilgrim mill,16,1020,18423.0
2009-11-01,Cleaner,3,Pilgrim mill,18,1020,16638.0
2009-11-01,Roller,5,Sizing mill,18,1020,21269.0
2009-11-01,Operator,5,Sizing mill,8,1020,19469.0
2009-11-01,Operator,5,Sizing mill,8,1020,19469.0
2009-11-01,Operator,4,Sizing mill,8,1020,16983.0
2009-12-01,Metal heater,7,Heating furnaces,22,810,26020.0
2009-12-01,Metal heater,6,Heating furnaces,22,810,22980.0
2009-12-01,Metal heater,5,Heating furnaces,22,810,20350.0
2009-12-01,Metal heater,5,Heating furnaces,22,810,20350.0
2009-12-01,Metal heater,4,Heating furnaces,22,810,18090.0
2009-12-01,Metal planter,4,Heating furnaces,22,810,18090.0
2009-12-01,Refractory,4,Heating furnaces,11,810,16110.0
2009-12-01,Roller,7,Piercing mill,18,810,25300.0
2009-12-01,Roller,6,Piercing mill,18,810,22260.0
2009-12-01,Roller assistant,4,Piercing mill,18,810,17370.0
2009-12-01,Roller,7,Pilgrim mill,18,810,25300.0
2009-12-01,Roller,6,Pilgrim mill,18,810,22260.0
2009-12-01,Roller assistant,4,Pilgrim mill,18,810,17370.0
2009-12-01,Roller assistant,3,Pilgrim mill,18,810,15420.0
2009-12-01,Hot metal cutter,4,Pilgrim mill,16,810,17010.0
2009-12-01,Cleaner,3,Pilgrim mill,18,810,15420.0
2009-12-01,Roller,5,Sizing mill,18,810,19630.0
2009-12-01,Operator,5,Sizing mill,8,810,17830.0
2009-12-01,Operator,5,Sizing mill,8,810,17830.0
2009-12-01,Operator,4,Sizing mill,8,810,15570.0
2009-01-01,Cleaner,3,Auxiliary premises,0,580,12180.0
2009-02-01,Cleaner,3,Auxiliary premises,0,790,12180.0
2009-03-01,Cleaner,3,Auxiliary premises,0,820,12180.0
2009-04-01,Cleaner,3,Auxiliary premises,0,1200,14687.64705882353
2009-05-01,Cleaner,3,Auxiliary premises,0,1250,15045.882352941177
2009-06-01,Cleaner,3,Auxiliary premises,0,950,12896.470588235294
2009-07-01,Cleaner,3,Auxiliary premises,0,1400,16120.588235294119
2009-08-01,Cleaner,3,Auxiliary premises,0,1180,14544.35294117647
2009-09-01,Cleaner,3,Auxiliary premises,0,1080,13827.882352941177
2009-10-01,Cleaner,3,Auxiliary premises,0,780,12180.0
2009-11-01,Cleaner,3,Auxiliary premises,0,1020,13398.0
2009-12-01,Cleaner,3,Auxiliary premises,0,810,12180.0
2009-01-01,Quality controller,7,Control and measuring equipment,0,580,22060.0
2009-02-01,Quality controller,7,Control and measuring equipment,0,790,22060.0
2009-03-01,Quality controller,7,Control and measuring equipment,0,820,22060.0
2009-04-01,Quality controller,7,Control and measuring equipment,0,1200,26601.764705882353
2009-05-01,Quality controller,7,Control and measuring equipment,0,1250,27250.58823529412
2009-06-01,Quality controller,7,Control and measuring equipment,0,950,23357.647058823528
2009-07-01,Quality controller,7,Control and measuring equipment,0,1400,29197.058823529413
2009-08-01,Quality controller,7,Control and measuring equipment,0,1180,26342.235294117647
2009-09-01,Quality controller,7,Control and measuring equipment,0,1080,25044.58823529412
2009-10-01,Quality controller,7,Control and measuring equipment,0,780,22060.0
2009-11-01,Quality controller,7,Control and measuring equipment,0,1020,24266.0
2009-12-01,Quality controller,7,Control and measuring equipment,0,810,22060.0
